400.,2017-04-17 21:25:33,96.94,96%,"Yes, there were times, I'm sure you knew, when I bit off mor...",No win (3 of 5)
399.,2017-04-17 21:23:50,99.87,96%,"Anyway, it's best not to think about them, as if you do it m...",No win (2 of 5)
398.,2017-04-17 21:22:40,98.23,96%,"Anna spoke not only naturally and intelligently, but intelli...",No win (2 of 4)
397.,2017-04-17 21:21:43,84.50,95%,"There's nothing mysterious about it, He's not working at all...",Win (1 of 4)
396.,2017-04-17 21:20:26,97.31,94%,Space ain't man's final frontier. Man's final frontier is th...,Win (1 of 5)
395.,2017-04-17 21:18:42,97.11,94%,"It was the most horrible, the most repellent thing she had e...",Win (1 of 5)
394.,2017-04-17 21:17:39,88.60,95%,"On a Saturday, long Saturday night - how I lied when I said ...",Win (1 of 4)
393.,2017-04-17 21:16:20,96.22,92%,I hope I cut myself shaving tomorrow. I hope it bleeds all d...,Win (1 of 5)
392.,2017-04-17 21:15:11,92.94,98%,Messes of men in farmer poverty; not much for monks but we p...,Win (1 of 5)
391.,2015-11-05 13:06:09,86.34,96%,"She looked terrific. I said to myself, ""Maybe she's going to...",No win (3 of 4)
390.,2015-10-01 10:42:15,83.65,94%,"There is more to color than a swatch in a book, or a pull do...",Win (1 of 4)
389.,2014-12-29 09:18:13,80.51,94%,Some have a positive vocation for breaking open safes: from ...,Win (1 of 4)
388.,2014-08-24 21:10:37,82.27,93%,Even the best-designed chair won't make up for bad posture. ...,No win (2 of 2)
387.,2014-08-24 21:09:10,76.02,95%,"Disillusion is the greatest gift I can give you. But, becaus...",No win (2 of 4)
386.,2014-08-24 21:07:57,83.84,96%,I've always wondered about this coat business. When I'm in a...,No win (3 of 3)
385.,2014-08-07 14:13:38,87.77,95%,"Combat for a naval aviator is fought in short, violent burst...",No win (3 of 3)
384.,2014-08-07 14:12:45,90.93,96%,Music finds a comfortable parallel with that of human langua...,No win (3 of 5)
383.,2014-08-07 14:12:08,99.10,97%,"Burning my bridges and smashing my mirrors, turning to see i...",No win (2 of 3)
382.,2014-08-07 14:11:12,94.15,97%,"The creation ends in South Georgia, at the very edge of the ...",Win (1 of 5)
381.,2014-08-07 14:09:59,93.55,97%,I can already hear your tune calling me across the room. Whe...,No win (3 of 5)
380.,2014-06-27 14:35:25,94.78,92%,You've got a way to keep me on your side. You give me cause ...,No win (2 of 4)
379.,2014-06-27 14:34:40,97.42,97%,I'd just like to point out that you were given every opportu...,Win (1 of 2)
378.,2014-06-27 14:33:20,79.79,92%,"A long time ago, I was in Burma, my friends and I were worki...",No win (4 of 5)
377.,2014-06-27 14:31:59,82.76,93%,Instead of hiring workers during the peak hog kill in the wi...,Win (1 of 2)
376.,2014-06-27 14:30:00,89.21,94%,But the two men were not lonely at all. At home they were co...,No win (2 of 3)
375.,2014-06-27 14:29:06,84.31,92%,It was one of those days when it's a minute away from snowin...,No win (2 of 2)
374.,2014-06-27 14:27:57,94.16,95%,A glooming peace this morning with it brings. The sun for so...,No win (2 of 3)
373.,2014-06-27 12:59:03,80.63,94%,"In the witch trials, it was nearly impossible to provide com...",No win (2 of 3)
372.,2014-06-27 12:55:54,83.95,95%,Do you know what they call a Quarter-pounder with cheese in ...,No win (2 of 4)
371.,2014-06-27 12:55:17,90.07,92%,"But older than me now, more constant, more real, and the fur...",No win (3 of 5)
370.,2014-06-27 12:54:28,80.60,95%,Supermarket aisles are the perfect place to practice your gl...,Win (1 of 4)
369.,2014-06-27 12:53:25,87.51,96%,"It is a period of civil war. Rebel spaceships, striking from...",Win (1 of 5)
368.,2014-06-27 12:52:26,89.93,96%,"That's Tommy. He tells people he was named after a gun, but ...",No win (2 of 4)
367.,2014-06-20 14:24:11,90.08,93%,"Has it been five years? Six? It seems like a lifetime, the k...",No win (2 of 5)
366.,2014-06-20 14:22:52,98.14,98%,I've been thinking lots about my life and how quick I'd wash...,Win (1 of 5)
365.,2014-06-20 13:35:41,79.11,90%,Who has a safety deposit box full of money and six passports...,No win (3 of 4)
364.,2014-06-20 13:34:36,102.49,98%,I must not fear. Fear is the mind killer. Fear is the little...,No win (2 of 4)
363.,2014-06-20 13:29:01,89.53,92%,Every time I think of you I feel shot right through with a b...,No win (2 of 4)
362.,2014-06-20 13:28:08,74.90,92%,"My dog barks some. Mentally you picture my dog, but I have n...",No win (3 of 4)
361.,2014-06-20 13:27:21,92.94,94%,Now I want you to think and stop being a smart aleck. A man'...,Win (1 of 2)
360.,2014-06-20 13:26:35,85.43,95%,"To some, the rules of etiquette may seem outdated, stuffy an...",No win (3 of 3)
359.,2014-06-20 13:25:27,72.88,87%,The basic concept is simple: a satellite in geosynchronous o...,No win (3 of 5)
358.,2014-06-20 13:24:09,98.11,98%,But the two men were not lonely at all. At home they were co...,Win (1 of 2)
357.,2014-06-20 13:23:13,97.33,96%,"But suddenly, I viddied that thinking was for the gloopy one...",No win (2 of 3)
356.,2014-06-20 13:22:26,82.78,94%,"But suddenly, I viddied that thinking was for the gloopy one...",No win (3 of 5)
355.,2014-06-20 13:21:32,95.15,97%,"For centuries, human society has taken the gifts of nature f...",Win (1 of 3)
354.,2014-06-20 12:44:14,82.48,97%,Chance and chance alone has a message for us. Everything tha...,Win (1 of 2)
353.,2014-06-20 12:43:07,98.59,95%,All time is all time. It does not change. It does not lend i...,No win (2 of 5)
352.,2014-06-20 12:42:12,109.47,98%,If I'm curt with you it's because time is a factor. I think ...,No win (2 of 4)
351.,2014-06-20 12:41:30,90.56,96%,"Ever since I was a child, folks have thought they had me peg...",No win (2 of 4)
350.,2014-06-20 12:35:21,84.01,91%,Every time I think of you I feel shot right through with a b...,No win (3 of 4)
349.,2014-06-20 12:34:11,99.75,95%,There's a hole in the world like a great black pit. And the ...,Win (1 of 2)
348.,2014-06-20 12:30:56,87.67,96%,It doesn't mean much to be able to filter out most present-d...,Win (1 of 5)
347.,2014-06-20 11:28:54,83.67,93%,Popularity is only partially about individual attractiveness...,No win (4 of 5)
346.,2014-06-20 11:28:03,96.50,98%,"Whenever you watch the mind, you withdraw consciousness from...",No win (2 of 5)
345.,2014-06-20 11:27:13,85.44,96%,Three changes occur while the stacked disk structure equilib...,No win (2 of 5)
344.,2014-06-20 11:25:58,79.30,94%,I sincerely believe that if women study male lessons on conc...,Win (1 of 4)
